name,text size,data size,rodata size,ovl size,bss size
ovl_Bg_F40_Flift,0x370,0x30,0x20,0x70,0x0
ovl_Obj_Mure,0x1060,0x80,0x260,0x140,0x0
ovl_En_Sw,0x3460,0x100,0xC0,0x300,0x0
ovl_Object_Kankyo,0x2730,0x30,0x190,0x210,0x10
ovl_En_Horse_Link_Child,0x1B80,0xC0,0x50,0x240,0x0
ovl_Door_Ana,0x660,0x70,0x10,0x70,0x0
ovl_En_Encount1,0x5F0,0x30,0x100,0x40,0x0
ovl_Demo_Tre_Lgt,0x7A0,0x50,0x70,0xA0,0x0
ovl_En_Encount2,0xAB0,0x80,0x50,0xA0,0x0
ovl_En_Fire_Rock,0x40,0x20,0x0,0x30,0x0
ovl_Bg_Ctower_Rot,0x5B0,0x30,0x10,0x80,0x0
ovl_Mir_Ray,0x1710,0x200,0xA0,0x110,0x0
ovl_En_Sb,0x1120,0xB0,0x20,0x100,0x0
ovl_En_Bigslime,0x9260,0x2E90,0x360,0xC30,0x0
ovl_En_Karebaba,0x1F30,0xC0,0xF0,0x270,0x0
ovl_En_In,0x3EA0,0x290,0x2C0,0x5E0,0x0
ovl_En_Bom_Chu,0x1620,0xA0,0x70,0x130,0x0
ovl_En_Horse_Game_Check,0x1200,0x190,0x60,0x140,0x0
ovl_En_Rr,0x2660,0xE0,0xE0,0x2C0,0x0
ovl_En_Fr,0x2B0,0x20,0x30,0x40,0x0
ovl_Obj_Oshihiki,0x1850,0x120,0xE0,0x1B0,0x0
ovl_Eff_Dust,0x13B0,0x30,0xC0,0x150,0x0
ovl_Bg_Umajump,0x9C0,0x30,0x0,0x80,0x0
ovl_En_Insect,0x16D0,0x80,0x90,0x230,0x0
ovl_En_Butte,0x1440,0x130,0x80,0x1F0,0x0
ovl_En_Fish,0x2810,0xA0,0x160,0x340,0x0
ovl_Item_Etcetera,0x410,0x80,0x40,0xA0,0x0
ovl_Arrow_Fire,0xBE0,0x1500,0x60,0x130,0x10
ovl_Arrow_Ice,0xAA0,0x1450,0x70,0xD0,0x10
ovl_Arrow_Light,0xA70,0x1450,0x70,0xD0,0x10
ovl_Obj_Kibako,0x1360,0x80,0x70,0x190,0x0
ovl_Obj_Tsubo,0x21D0,0xF0,0x130,0x2B0,0x0
ovl_En_Ik,0x2B90,0x270,0xE0,0x310,0x0
ovl_Demo_Shd,0x40,0x20,0x0,0x30,0x0
ovl_En_Dns,0x1A10,0x180,0x90,0x190,0x0
ovl_Elf_Msg,0x6D0,0x1F0,0x50,0xA0,0x0
ovl_En_Honotrap,0x2300,0x120,0x160,0x2B0,0x0
ovl_En_Tubo_Trap,0xD60,0x70,0x20,0xC0,0x0
ovl_Obj_Ice_Poly,0xEC0,0xA0,0x60,0xF0,0x0
ovl_En_Fz,0x2570,0x100,0x90,0x210,0x0
ovl_En_Kusa,0x1FB0,0xD0,0xF0,0x330,0x220
ovl_Obj_Bean,0x27E0,0xC0,0x490,0x320,0x0
ovl_Obj_Bombiwa,0x17C0,0xD0,0x110,0x1D0,0x0
ovl_Obj_Switch,0x2630,0x200,0x220,0x540,0x10
ovl_Obj_Lift,0xAA0,0x80,0x30,0xE0,0x0
ovl_Obj_Hsblock,0x630,0x60,0x50,0xB0,0x0
ovl_En_Okarina_Tag,0x5E0,0x20,0x10,0x70,0x0
ovl_En_Goroiwa,0x49F0,0x120,0x280,0x510,0x0
ovl_En_Daiku,0xD30,0xB0,0xB0,0xF0,0x0
ovl_En_Nwc,0x1380,0x30,0xC0,0x130,0x0
ovl_Item_Inbox,0x180,0x20,0x0,0x30,0x0
ovl_En_Ge1,0x1080,0xB0,0x70,0x130,0x0
ovl_Obj_Blockstop,0x250,0x20,0x0,0x30,0x0
ovl_En_Sda,0x1230,0x380,0xD0,0xF0,0xC0
ovl_En_Clear_Tag,0x2FE0,0x2F20,0x120,0x270,0x0
ovl_En_Gm,0x3F20,0x630,0x2B0,0x590,0x0
ovl_En_Ms,0x640,0x60,0x0,0x70,0x0
ovl_En_Hs,0xE40,0x60,0x30,0x110,0x0
ovl_Bg_Ingate,0xFF0,0x20,0x40,0xC0,0x0
ovl_En_Kanban,0x2A90,0xB80,0xE0,0x220,0x0
ovl_En_Attack_Niw,0x1120,0x30,0x70,0x140,0x0
ovl_En_Mk,0x1100,0x70,0xD0,0x1C0,0x0
ovl_En_Owl,0x33C0,0x70,0xC0,0x370,0x0
ovl_En_Ishi,0x22F0,0x130,0x170,0x320,0x0
ovl_Obj_Hana,0xC0,0x30,0x0,0x30,0x0
ovl_Obj_Lightswitch,0x11E0,0x80,0x100,0x140,0x0
ovl_Obj_Mure2,0x9A0,0x90,0x50,0xE0,0x0
ovl_En_Fu,0x38F0,0x190,0x3F0,0x670,0x0
ovl_En_Stream,0x580,0x30,0x40,0x80,0x0
ovl_En_Mm,0x890,0x60,0x40,0xA0,0x0
ovl_En_Weather_Tag,0x1610,0x20,0x40,0x1D0,0x0
ovl_En_Ani,0xE90,0x70,0x30,0xF0,0x0
ovl_En_Js,0x2790,0xC0,0x160,0x340,0x0
ovl_En_Okarina_Effect,0x270,0x20,0x50,0x50,0x0
ovl_En_Mag,0x3860,0x160,0x70,0x250,0x0
ovl_Elf_Msg2,0x650,0x130,0x50,0xB0,0x0
ovl_Bg_F40_Swlift,0x420,0x40,0x10,0x70,0x10
ovl_En_Kakasi,0x2B00,0x300,0x50,0x280,0x0
ovl_Obj_Makeoshihiki,0x390,0x20,0xD0,0x30,0x0
ovl_Oceff_Spot,0x800,0x700,0xA0,0xD0,0x0
ovl_En_Torch,0xB0,0x30,0x0,0x30,0x0
ovl_Shot_Sun,0x5F0,0x50,0x10,0x70,0x0
ovl_Obj_Roomtimer,0x2B0,0x20,0x0,0x40,0x0
ovl_En_Ssh,0x25F0,0x180,0xA0,0x2E0,0x0
ovl_Oceff_Wipe,0x580,0x800,0x40,0x80,0x10
ovl_Effect_Ss_Dust,0x7A0,0x30,0x50,0xA0,0x0
ovl_Effect_Ss_Kirakira,0x660,0x10,0x50,0x90,0x0
ovl_Effect_Ss_Bomb2,0x840,0x50,0x80,0xA0,0x0
ovl_Effect_Ss_Blast,0x370,0x10,0x40,0x50,0x0
ovl_Effect_Ss_G_Spk,0x5A0,0x20,0x30,0x60,0x0
ovl_Effect_Ss_D_Fire,0x470,0x20,0x50,0x60,0x0
ovl_Effect_Ss_Bubble,0x580,0x20,0x50,0x60,0x0
ovl_Effect_Ss_G_Ripple,0x560,0x10,0x40,0x50,0x0
ovl_Effect_Ss_G_Splash,0x3E0,0x30,0x10,0x50,0x0
ovl_Effect_Ss_G_Fire,0x1E0,0x30,0x0,0x40,0x0
ovl_Effect_Ss_Lightning,0x6A0,0x30,0x50,0xA0,0x0
ovl_Effect_Ss_Dt_Bubble,0x520,0x30,0x50,0x60,0x0
ovl_Effect_Ss_Hahen,0x630,0x10,0x90,0x90,0x0
ovl_Effect_Ss_Stick,0x2D0,0x10,0x50,0x60,0x0
ovl_Effect_Ss_Sibuki,0x650,0x10,0x70,0x80,0x0
ovl_Effect_Ss_Stone1,0x320,0x70,0x50,0x60,0x0
ovl_Effect_Ss_Hitmark,0x450,0xC0,0x30,0x60,0x0
ovl_Effect_Ss_Fhg_Flash,0x5C0,0x4E0,0x50,0x80,0x0
ovl_Effect_Ss_K_Fire,0x460,0x10,0x50,0x60,0x0
ovl_Effect_Ss_Solder_Srch_Ball,0x460,0x10,0x70,0x50,0x0
ovl_Effect_Ss_Kakera,0xF90,0xA0,0xC0,0x150,0x0
ovl_Effect_Ss_Ice_Piece,0x420,0x10,0x50,0x60,0x0
ovl_Effect_Ss_En_Ice,0x7D0,0x10,0x50,0x70,0x0
ovl_Effect_Ss_Fire_Tail,0x6A0,0x10,0x60,0x80,0x0
ovl_Effect_Ss_En_Fire,0x6A0,0x10,0x50,0x60,0x0
ovl_Effect_Ss_Extra,0x390,0x20,0x40,0x60,0x0
ovl_Effect_Ss_Dead_Db,0x400,0x30,0x40,0x50,0x0
ovl_Effect_Ss_Dead_Dd,0x590,0x10,0x40,0x60,0x0
ovl_Effect_Ss_Dead_Ds,0x480,0x10,0x50,0x60,0x0
ovl_Oceff_Storm,0x910,0x13B0,0x100,0x180,0x0
ovl_Obj_Demo,0x400,0x20,0x0,0x40,0x0
ovl_En_Minislime,0x2200,0x80,0xD0,0x330,0x0
ovl_En_Nutsball,0x640,0x50,0x40,0x60,0x0
ovl_Oceff_Wipe2,0x4B0,0x1290,0x50,0xE0,0x10
ovl_Oceff_Wipe3,0x4B0,0x1270,0x50,0xD0,0x10
ovl_En_Dg,0x3680,0x200,0x60,0x570,0x0
ovl_En_Si,0x420,0x80,0x0,0x60,0x0
ovl_Obj_Comb,0x17E0,0x70,0x120,0x120,0x0
ovl_Obj_Kibako2,0x9D0,0x60,0x50,0xA0,0x0
ovl_En_Hs2,0xD0,0x20,0x0,0x30,0x0
ovl_Obj_Mure3,0x800,0x40,0x10,0x90,0x0
ovl_En_Tg,0xB60,0xC0,0x60,0xD0,0x0
ovl_En_Wf,0x4440,0x1D0,0x70,0x450,0x0
ovl_En_Skb,0x3140,0x240,0xE0,0x470,0x0
ovl_En_Gs,0x2C20,0xF0,0x160,0x3B0,0x0
ovl_Obj_Sound,0x210,0x20,0x0,0x30,0x0
ovl_En_Crow,0x1700,0x90,0x40,0x170,0x0
ovl_En_Cow,0x1570,0x60,0x20,0x110,0x0
ovl_Oceff_Wipe4,0x4B0,0xB10,0x50,0xE0,0x10
ovl_En_Zo,0xED0,0x180,0x30,0x120,0x0
ovl_Effect_Ss_Ice_Smoke,0x340,0x10,0x50,0x50,0x0
ovl_Obj_Makekinsuta,0x480,0x40,0x40,0x50,0x0
ovl_En_Ge3,0x1100,0x90,0x60,0x110,0x0
ovl_Obj_Hamishi,0xCA0,0x80,0x70,0xB0,0x0
ovl_En_Zl4,0x4D0,0x50,0x30,0x80,0x0
ovl_En_Mm2,0x2E0,0x8B0,0x30,0x80,0x0
ovl_Door_Spiral,0x810,0xF0,0x40,0xC0,0x0
ovl_Obj_Pzlblock,0xE20,0x70,0xD0,0x140,0x0
ovl_Obj_Toge,0xC10,0xA0,0xB0,0xC0,0x0
ovl_Obj_Armos,0xF20,0x50,0xB0,0x130,0x0
ovl_Obj_Boyo,0x4D0,0x80,0x20,0x90,0x0
ovl_En_Grasshopper,0x2DC0,0x1C0,0xA0,0x270,0x0
ovl_Obj_Grass,0x1B20,0x1B0,0x110,0x1F0,0xC0
ovl_Obj_Grass_Carry,0xF40,0xB0,0xC0,0x180,0x0
ovl_Obj_Grass_Unit,0x5D0,0xF0,0x1F0,0x80,0x0
ovl_Bg_Fire_Wall,0x8F0,0x80,0x50,0xD0,0x0
ovl_En_Bu,0x1C0,0x20,0x40,0x50,0x0
ovl_En_Encount3,0x9A0,0x30,0x60,0xC0,0x0
ovl_En_Jso,0x3AE0,0x1D0,0xD0,0x3A0,0x0
ovl_Obj_Chikuwa,0xB50,0x50,0x90,0xE0,0x0
ovl_En_Knight,0xC430,0x2A0,0x590,0xF70,0x1790
ovl_En_Warp_tag,0x9D0,0x30,0x40,0xB0,0x0
ovl_En_Aob_01,0x2AB0,0x210,0x130,0x340,0x0
ovl_En_Boj_01,0x40,0x20,0x0,0x30,0x0
ovl_En_Boj_02,0x40,0x20,0x0,0x30,0x0
ovl_En_Boj_03,0x40,0x20,0x0,0x30,0x0
ovl_En_Encount4,0x850,0x40,0x0,0xA0,0x0
ovl_En_Bom_Bowl_Man,0x1BF0,0x140,0xB0,0x260,0x0
ovl_En_Syateki_Man,0x2FF0,0x370,0x190,0x440,0x0
ovl_Bg_Icicle,0x950,0x70,0x10,0xC0,0x0
ovl_En_Syateki_Crow,0xDF0,0xA0,0x10,0x100,0x0
ovl_En_Boj_04,0x40,0x20,0x0,0x30,0x0
ovl_En_Cne_01,0xE50,0xB0,0x80,0xF0,0x0
ovl_En_Bba_01,0xE00,0xB0,0x80,0xF0,0x0
ovl_En_Bji_01,0x10A0,0xB0,0xB0,0x170,0x0
ovl_Bg_Spdweb,0x1350,0x1C0,0x80,0x120,0x0
ovl_En_Mt_tag,0x1040,0x2A0,0x10,0xF0,0x0
ovl_Boss_01,0x7D90,0x600,0x350,0x970,0x17C0
ovl_Boss_02,0x55E0,0x5B0,0x2F0,0x720,0x2340
ovl_Boss_03,0x6CB0,0x340,0x210,0x5C0,0x2800
ovl_Boss_04,0x2290,0xF0,0xF0,0x210,0x10
ovl_Boss_05,0x3930,0x300,0xD0,0x370,0x10
ovl_Boss_06,0x20A0,0x90,0xD0,0x220,0x610
ovl_Boss_07,0x14110,0x9A0,0x800,0x1440,0xE60
ovl_Bg_Dy_Yoseizo,0x1ED0,0xA0,0xA0,0x230,0x0
ovl_En_Boj_05,0x40,0x20,0x0,0x30,0x0
ovl_En_Sob1,0x4990,0x200,0x330,0x550,0x0
ovl_En_Go,0x5990,0x620,0x220,0x590,0x0
ovl_En_Raf,0x2460,0x630,0x70,0x230,0x0
ovl_Obj_Funen,0x1E0,0x30,0x40,0x40,0x0
ovl_Obj_Raillift,0xC30,0x40,0xF0,0x110,0x0
ovl_Bg_Numa_Hana,0xEF0,0x80,0xD0,0x120,0x0
ovl_Obj_Flowerpot,0x2220,0xB0,0x100,0x380,0x220
ovl_Obj_Spinyroll,0x1920,0x1F0,0x1C0,0x1F0,0x0
ovl_Dm_Hina,0xAC0,0x20,0x40,0x90,0x0
ovl_En_Syateki_Wf,0x1230,0x1A0,0x40,0x160,0x0
ovl_Obj_Skateblock,0x1B20,0x150,0xF0,0x1F0,0x0
ovl_Effect_En_Ice_Block,0x390,0x10,0x60,0x70,0x0
ovl_Obj_Iceblock,0x4380,0x1A0,0x1A0,0x4A0,0x0
ovl_En_Bigpamet,0x26E0,0xB0,0xB0,0x2D0,0x0
ovl_Bg_Dblue_Movebg,0x21C0,0x130,0x170,0x250,0x10
ovl_En_Syateki_Dekunuts,0x10F0,0x130,0x60,0x160,0x0
ovl_Elf_Msg3,0x6C0,0x130,0x50,0xA0,0x0
ovl_En_Fg,0x1490,0x120,0xC0,0x1A0,0x0
ovl_Dm_Ravine,0x1A0,0x20,0x0,0x30,0x0
ovl_Dm_Sa,0x480,0x40,0x30,0x80,0x0
ovl_En_Slime,0x3170,0x100,0x1C0,0x520,0x10
ovl_En_Pr,0x1910,0xB0,0x50,0x190,0x0
ovl_Obj_Toudai,0xB80,0x100,0x90,0xB0,0x0
ovl_Obj_Entotu,0xE10,0x90,0x90,0xB0,0x0
ovl_Obj_Bell,0xB80,0xB0,0xB0,0x100,0x0
ovl_En_Syateki_Okuta,0x1830,0x660,0xC0,0x2B0,0x0
ovl_Obj_Shutter,0x2B0,0x30,0x50,0x60,0x0
ovl_Dm_Zl,0x780,0x100,0x60,0xD0,0x0
ovl_En_Ru,0xC00,0x190,0x30,0xF0,0x0
ovl_En_Elfgrp,0x1600,0x20,0x20,0x170,0x0
ovl_Dm_Tsg,0x400,0x20,0x10,0x40,0x0
ovl_En_Baguo,0x1460,0xA0,0x90,0x150,0x0
ovl_Obj_Vspinyroll,0x1270,0xB0,0x1E0,0x190,0x0
ovl_Obj_Smork,0xCC0,0x90,0x50,0x90,0x0
ovl_En_Test2,0x380,0xF0,0x30,0x80,0x0
ovl_En_Test3,0x3310,0x400,0xF0,0x430,0x60
ovl_En_Test4,0x16B0,0x50,0x80,0x160,0x10
ovl_En_Bat,0x16B0,0xB0,0x70,0x1B0,0x10
ovl_En_Sekihi,0x730,0x80,0x80,0xD0,0x0
ovl_En_Wiz,0x3B20,0x250,0xA0,0x220,0x0
ovl_En_Wiz_Brock,0x6B0,0x30,0x90,0xB0,0x0
ovl_En_Wiz_Fire,0x2E10,0xA0,0x1E0,0x250,0x0
ovl_Eff_Change,0x520,0x50,0x30,0x60,0x0
ovl_Dm_Statue,0xD0,0x20,0x0,0x30,0x0
ovl_Obj_Fireshield,0xE90,0xB0,0xA0,0x150,0x0
ovl_Bg_Ladder,0x530,0x40,0x40,0x80,0x0
ovl_En_Mkk,0x1B00,0xE0,0x130,0x250,0x0
ovl_Demo_Getitem,0x390,0x30,0x30,0x60,0x0
ovl_En_Dnb,0x10D0,0x50,0x90,0xB0,0x0
ovl_En_Dnh,0x630,0x200,0x30,0xA0,0x0
ovl_En_Dnk,0xF00,0x2D0,0x80,0x100,0x0
ovl_En_Dnq,0x10A0,0x220,0x50,0x160,0x0
ovl_Bg_Keikoku_Saku,0x460,0x20,0x60,0x80,0x0
ovl_Obj_Hugebombiwa,0x2380,0xB0,0x1D0,0x2B0,0x0
ovl_En_Firefly2,0x40,0x20,0x0,0x30,0x0
ovl_En_Rat,0x25D0,0x100,0xA0,0x2A0,0x0
ovl_En_Water_Effect,0x2A00,0x40,0x1C0,0x1B0,0x0
ovl_En_Kusa2,0x3EC0,0xD0,0x190,0x5B0,0x1960
ovl_Bg_Spout_Fire,0x760,0x80,0x60,0xE0,0x0
ovl_En_Dy_Extra,0x520,0x70,0x50,0x90,0x0
ovl_En_Bal,0x2830,0x250,0x140,0x480,0x0
ovl_En_Ginko_Man,0x1A80,0xA0,0x140,0x2A0,0x0
ovl_En_Warp_Uzu,0x3F0,0x70,0x0,0x60,0x0
ovl_Obj_Driftice,0x1210,0x100,0x90,0x160,0x0
ovl_En_Look_Nuts,0xEB0,0x90,0x70,0x100,0x0
ovl_En_Mushi2,0x3660,0xF0,0x1A0,0x480,0x0
ovl_En_Fall,0x29A0,0x110,0x250,0x3E0,0x710
ovl_En_Mm3,0x14F0,0x140,0xA0,0x170,0x0
ovl_Bg_Crace_Movebg,0xAF0,0x40,0x70,0xE0,0x20
ovl_En_Dno,0x2B10,0x1B0,0x140,0x3A0,0x0
ovl_En_Pr2,0x1E40,0xA0,0x140,0x140,0x0
ovl_En_Prz,0x15E0,0xA0,0x50,0x140,0x0
ovl_En_Jso2,0x4640,0x270,0x140,0x460,0x0
ovl_Obj_Etcetera,0xCB0,0xB0,0xB0,0x170,0x0
ovl_En_Egol,0x47D0,0x250,0x170,0x340,0x0
ovl_Obj_Mine,0x3860,0xB0,0x290,0x3A0,0x300
ovl_Obj_Purify,0x9D0,0xF0,0x1A0,0x140,0x0
ovl_En_Tru,0x37C0,0x2B10,0x190,0x360,0x0
ovl_En_Trt,0x4F40,0x100,0x120,0x480,0x0
ovl_En_Test5,0x380,0x20,0x0,0x30,0x0
ovl_En_Test6,0x3B00,0x220,0x610,0x650,0x120
ovl_En_Az,0x4AD0,0x430,0x300,0x820,0x20
ovl_En_Estone,0xE20,0x50,0xC0,0x110,0x0
ovl_Bg_Hakugin_Post,0x2FA0,0xD0,0x1F0,0x420,0x1B90
ovl_Dm_Opstage,0x450,0x30,0x10,0x60,0x0
ovl_Dm_Stk,0x3D60,0x740,0xC00,0xE60,0x0
ovl_Dm_Char00,0x1CF0,0x890,0x450,0x5A0,0x0
ovl_Dm_Char01,0x1DD0,0xD10,0xC0,0x350,0x10
ovl_Dm_Char02,0x620,0x80,0x10,0x80,0x0
ovl_Dm_Char03,0x7E0,0x40,0x20,0xA0,0x0
ovl_Dm_Char04,0x900,0xC0,0x40,0xA0,0x0
ovl_Dm_Char05,0x20B0,0xD0,0x160,0x310,0x0
ovl_Dm_Char06,0x390,0x20,0x40,0x50,0x0
ovl_Dm_Char07,0x6C0,0x20,0x50,0x60,0x0
ovl_Dm_Char08,0x25B0,0x440,0x250,0x480,0x0
ovl_Dm_Char09,0x980,0x40,0x20,0xA0,0x0
ovl_Obj_Tokeidai,0x26D0,0x30,0x1D0,0x320,0x0
ovl_En_Mnk,0x59C0,0x140,0x260,0x820,0x0
ovl_En_Egblock,0xA00,0x20,0x90,0xA0,0x0
ovl_En_Guard_Nuts,0xE80,0xA0,0x50,0x150,0x0
ovl_Bg_Hakugin_Bombwall,0x1110,0xF0,0x30,0x150,0x0
ovl_Obj_Tokei_Tobira,0x5F0,0x60,0x10,0x90,0x0
ovl_Bg_Hakugin_Elvpole,0x4F0,0x20,0x60,0x50,0x0
ovl_En_Ma4,0x2750,0x1E0,0x1E0,0x460,0x0
ovl_En_Twig,0x950,0x70,0x20,0x110,0x40
ovl_En_Po_Fusen,0xC10,0x70,0x20,0xC0,0x0
ovl_En_Door_Etc,0x7B0,0xD0,0x40,0xA0,0x0
ovl_En_Bigokuta,0x2190,0x100,0xF0,0x270,0x0
ovl_Bg_Icefloe,0x720,0x40,0x20,0xF0,0x10
ovl_fbdemo_triforce,0x5F0,0x100,0x10,0x70,0x0
ovl_fbdemo_wipe1,0x4D0,0xAB0,0x10,0x60,0x0
ovl_fbdemo_wipe3,0x590,0x1740,0x10,0x80,0x0
ovl_fbdemo_wipe4,0x250,0x30,0x10,0x60,0x0
ovl_fbdemo_wipe5,0x500,0x30,0x10,0x60,0x0
ovl_Effect_Ss_Sbn,0x920,0x50,0xA0,0xC0,0x0
ovl_Obj_Ocarinalift,0xA30,0x40,0xF0,0xF0,0x0
ovl_En_Time_Tag,0xCC0,0x20,0x20,0x100,0x0
ovl_Bg_Open_Shutter,0x710,0x30,0x10,0x80,0x0
ovl_Bg_Open_Spot,0x230,0x30,0x40,0x50,0x0
ovl_Bg_Fu_Kaiten,0x320,0x20,0x40,0x50,0x0
ovl_Obj_Aqua,0xD90,0x90,0x60,0x120,0x0
ovl_En_Elforg,0x19E0,0x250,0xD0,0x220,0x0
ovl_En_Elfbub,0x660,0x60,0x50,0x80,0x0
ovl_En_Fu_Mato,0x1500,0xB0,0xC0,0x120,0x0
ovl_En_Fu_Kago,0x1040,0x150,0xA0,0x120,0x0
ovl_En_Osn,0x1CF0,0x300,0x240,0x3D0,0x0
ovl_Bg_Ctower_Gear,0x7F0,0xB0,0x60,0xA0,0x0
ovl_En_Trt2,0x2970,0x1B0,0x40,0x210,0x0
ovl_Obj_Tokei_Step,0xC60,0x80,0x50,0xF0,0x0
ovl_Bg_Lotus,0x670,0x30,0x20,0x90,0x0
ovl_En_Kame,0x2430,0x100,0x90,0x320,0x0
ovl_Obj_Takaraya_Wall,0x1150,0x50,0x60,0x180,0x6A0
ovl_Bg_Fu_Mizu,0x340,0x20,0x40,0x50,0x0
ovl_En_Sellnuts,0x2F00,0x200,0x1A0,0x580,0x0
ovl_Bg_Dkjail_Ivy,0x820,0x70,0x70,0xD0,0x0
ovl_Obj_Visiblock,0x110,0x30,0x0,0x30,0x0
ovl_En_Takaraya,0x1180,0x80,0x30,0x140,0x0
ovl_En_Tsn,0x1710,0x60,0x1F0,0x2F0,0x0
ovl_En_Ds2n,0x580,0x50,0x20,0x80,0x0
ovl_En_Fsn,0x46E0,0x160,0x180,0x440,0x0
ovl_En_Shn,0xFB0,0x380,0x20,0x100,0x0
ovl_En_Stop_heishi,0x1680,0x1B0,0x20,0x110,0x0
ovl_Obj_Bigicicle,0xDB0,0xC0,0x30,0x130,0x0
ovl_En_Lift_Nuts,0x2720,0x260,0xB0,0x420,0x0
ovl_En_Tk,0x3980,0x2A0,0x180,0x490,0x10
ovl_Bg_Market_Step,0xC0,0x40,0x0,0x40,0x0
ovl_Obj_Lupygamelift,0x660,0x50,0x10,0xA0,0x0
ovl_En_Test7,0x2F90,0x70,0xD0,0x3C0,0x60
ovl_Obj_Lightblock,0x6A0,0x80,0x60,0x90,0x0
ovl_Mir_Ray2,0x430,0x60,0x10,0x50,0x0
ovl_En_Wdhand,0x2270,0x170,0xC0,0x200,0x0
ovl_En_Gamelupy,0x6C0,0x70,0x50,0xB0,0x0
ovl_Bg_Danpei_Movebg,0x880,0x40,0x10,0xE0,0x0
